"withinblocktrial","block","block_repetition","rt","resp","cor","cresp","conf_press","cj","rtconf","coherence","slow_trial","manipulation","sub","age","gender","handedness","X","batch","check1","check2","check3","check4"
49,4,1,0.81693509999991,"['c']",1,"left","['0']",6,0.333875099999887,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
50,4,1,0.817123200000196,"['n']",1,"right","['0']",6,0.200363200000083,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
51,4,1,0.651055600000063,"['c']",0,"right","['0']",6,0.167276799999854,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
52,4,1,0.684607400000004,"['n']",1,"right","['0']",6,0.200362300000052,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
53,4,1,0.567015399999946,"['c']",0,"right","['0']",6,0.200607099999843,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
54,4,1,0.500253899999962,"['c']",1,"left","['0']",6,0.200423900000033,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
55,4,1,0.600284900000133,"['c']",1,"left","['0']",6,0.15041159999987,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
56,4,1,0.85059810000007,"['n']",1,"right","['0']",6,0.217262899999923,0.2,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
57,4,1,0.634441200000083,"['c']",1,"left","['0']",6,0.20054029999983,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
58,4,1,0.516839499999833,"['c']",0,"right","['0']",6,0.150728000000072,0.1,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
59,4,1,0.449463400000013,"['c']",1,"left","['0']",6,0.150630099999944,0.4,0,"FastFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
0,5,1,2.56754760000013,"['c']",1,"left","['0']",6,0.250354799999968,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
1,5,1,1.70015479999984,"['c']",1,"left","['0']",6,0.100541400000111,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
2,5,1,1.80003799999986,"['c']",1,"left","['9']",5,0.56726679999997,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
3,5,1,2.71745099999998,"['n']",1,"right","['8']",4,0.617376400000012,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
4,5,1,1.71686190000014,"['c']",0,"right","['3']",3,0.983883900000137,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
5,5,1,1.40111210000009,"['n']",1,"right","['8']",4,0.566925900000115,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
6,5,1,1.04982810000001,"['c']",1,"left","['0']",6,0.183850200000052,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
7,5,1,1.48377949999986,"['c']",1,"left","['0']",6,0.267532699999947,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
8,5,1,4.00026989999992,"['c']",0,"right","['1']",1,0.417431199999783,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
9,5,1,2.61660600000005,"['c']",0,"right","['3']",3,0.833908900000097,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
10,5,1,3.18421069999999,"['c']",1,"left","['3']",3,0.583862599999975,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
11,5,1,1.58394110000017,"['n']",1,"right","['8']",4,0.484255999999959,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
12,5,1,1.38374299999987,"['c']",1,"left","['0']",6,0.833900200000016,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
13,5,1,2.0162836999998,"['n']",1,"right","['9']",5,0.283838199999991,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
14,5,1,1.2336292,"['n']",1,"right","['0']",6,0.633585100000118,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
15,5,1,1.10081250000007,"['c']",1,"left","['0']",6,0.283835199999885,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
16,5,1,4.18271819999995,"['n']",0,"left","['8']",4,0.400570699999889,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
17,5,1,1.43379679999998,"['n']",1,"right","['0']",6,0.217215300000134,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
18,5,1,1.48382469999979,"['c']",1,"left","['0']",6,0.217029799999864,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
19,5,1,2.25049119999994,"['c']",1,"left","['8']",4,0.6003611000001,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
20,5,1,2.78328379999994,"['n']",1,"right","['1']",1,0.317318500000056,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
21,5,1,1.48338239999998,"['c']",1,"left","['0']",6,0.367152099999885,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
23,5,1,1.65075019999995,"['n']",1,"right","['3']",3,1.56720800000016,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
24,5,1,1.66682779999996,"['n']",1,"right","['9']",5,0.683957200000123,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
25,5,1,1.61700939999992,"['c']",1,"left","['0']",6,0.400309500000049,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
26,5,1,4.2509207999999,"['c']",1,"left","['2']",2,0.733951899999965,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
27,5,1,0.967204699999911,"['n']",1,"right","['0']",6,0.300630799999908,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
28,5,1,0.900110599999834,"['c']",1,"left","['0']",6,0.167154900000014,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
29,5,1,1.18335990000014,"['n']",1,"right","['0']",6,0.167346100000032,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
30,5,1,2.36604890000012,"['n']",1,"right","['8']",4,0.650488300000006,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
31,5,1,2.58350689999997,"['c']",1,"left","['2']",2,0.600710199999867,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
32,5,1,0.749977000000172,"['n']",1,"right","['0']",6,0.234282699999994,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
33,5,1,2.46656510000003,"['c']",0,"right","['8']",4,1.1504225000001,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
34,5,1,0.749311000000034,"['n']",1,"right","['0']",6,0.367210300000124,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
35,5,1,0.917177100000117,"['c']",1,"left","['0']",6,0.55072210000003,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
36,5,1,2.08273829999985,"['n']",0,"left","['8']",4,1.35053420000008,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
37,5,1,1.01598990000002,"['n']",1,"right","['0']",6,0.183796099999881,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
38,5,1,0.766689099999894,"['n']",1,"right","['0']",6,0.217195200000106,0.4,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
39,5,1,0.850167700000156,"['c']",1,"left","['0']",6,0.150727700000061,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
40,5,1,1.26615349999997,"['c']",1,"left","['0']",6,0.167144000000008,0.2,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
41,5,1,1.23374660000013,"['c']",1,"left","['3']",3,2.16710699999999,0.1,0,"AccFast",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
